feature,gain
change_point_count,48.34957504272461
contact_bounce_count,24.079872131347656
noise_spike_count,22.426652908325195
breaker_voltage_level_400kV,18.09010124206543
breaker_voltage_level_765kV,15.280173301696777
density_switch_status,10.164968490600586
noise_spike_count_high90,9.400419235229492
manufacturer_name_Alstom,7.366520404815674
manufacturer_name_Siemens,6.3481125831604
fault_type_normal,6.292626857757568
manufacturer_name_Toshiba,6.1954345703125
target_health_rule_Good,5.895101547241211
arcing_contact_time_high90,5.839781761169434
manufacturer_name_SEL,5.775899887084961
manufacturer_name_GE,5.1764349937438965
manufacturer_name_Schneider,5.095818519592285
target_health_rule_Moderate,4.8629584312438965
manufacturer_name_Hyundai,4.829861640930176
avg_main_zone_resistance_high90,4.393656253814697
dtw_similarity_score,4.052370071411133
fault_type_gas_pressure_loss,3.885796546936035
fault_type_main_contact_erosion,3.869565963745117
outlier_score,3.7516911029815674
high_flags_count,3.67895245552063
avg_main_zone_resistance,3.672374963760376
fault_type_high_friction,3.5647318363189697
resistance_discontinuity_score,3.5574607849121094
fault_type_mechanism_misalignment,3.4844841957092285
anomaly_score,3.3807425498962402
travel_distance,3.318028688430786
high_freq_energy,3.311088800430298
peak_resistance_time,3.302075147628784
year_of_installation,3.2953922748565674
spectral_centroid,3.283343553543091
temperature_compensated_pressure,3.282010793685913
variance,3.2530295848846436
anomaly_score_high90,3.2348334789276123
scalogram_value,3.2237212657928467
contact_bounce_amplitude,3.2202298641204834
wavelet_coeff_cD,3.2139883041381836
steady_state_resistance_before,3.1766819953918457
travel_speed,3.154904842376709
entropy,3.1495749950408936
resistance_fall_time,3.1312944889068604
travel_acceleration,3.1140568256378174
skewness,3.109084129333496
mid_freq_energy,3.106156349182129
smoothness_index,3.0803041458129883
travel_delay,3.067568302154541
spectrogram_value,3.059903144836426
last_maintenance_days,3.0588150024414062
steady_state_resistance_after,3.052809953689575
wavelet_energy_ratio,3.0492351055145264
ambient_temperature,3.0148370265960693
dominant_frequency,3.0092082023620605
friction_index,2.9969942569732666
resistance_rise_time,2.9866576194763184
sf6_temperature,2.9820594787597656
gas_decomposition_indicator,2.909510612487793
jerk_index,2.908726453781128
sf6_leakage_rate,2.9015257358551025
spectral_flatness,2.892521619796753
shape_deviation_index,2.8751752376556396
wavelet_coeff_cA,2.8717708587646484
integrated_resistance_energy,2.858525037765503
sf6_gas_pressure,2.855569839477539
mean_absolute_deviation,2.850808620452881
final_resistance_gradient,2.8494999408721924
wavelet_entropy,2.8435845375061035
main_contact_transition_time,2.839373826980591
initial_resistance_gradient,2.8390157222747803
low_freq_energy,2.8214688301086426
avg_arc_zone_resistance,2.8208236694335938
kurtosis,2.8115715980529785
arcing_contact_time,2.8072025775909424
spring_charging_time,2.742464065551758
peak_dynamic_resistance,2.7135419845581055
max_drdt,2.6479568481445312
min_drdt,2.6377413272857666
operation_duration,2.6270360946655273
